,song_title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Hey Ya!,Outkast,0JFx4l1JZJ6XtMAtlCMiqF,0.657,0.883,4,-6.778,0,0.0526,0.0349,0.0,0.306,0.966,79.397,audio_features,spotify:track:0JFx4l1JZJ6XtMAtlCMiqF,https://api.spotify.com/v1/tracks/0JFx4l1JZJ6XtMAtlCMiqF,https://api.spotify.com/v1/audio-analysis/0JFx4l1JZJ6XtMAtlCMiqF,228573,4
1,"No Woman, No Cry",Fugees,5bUVHuzQh5mkvMPjUU074i,0.846,0.326,0,-13.909,1,0.152,0.0134,3.97e-05,0.28,0.367,88.988,audio_features,spotify:track:5bUVHuzQh5mkvMPjUU074i,https://api.spotify.com/v1/tracks/5bUVHuzQh5mkvMPjUU074i,https://api.spotify.com/v1/audio-analysis/5bUVHuzQh5mkvMPjUU074i,273093,4
2,Can You Feel It,The Jacksons,1XqgxhR3FcJXzFiSG8m6oL,0.892,0.638,6,-7.468,0,0.0488,0.0445,0.000476,0.202,0.892,125.359,audio_features,spotify:track:1XqgxhR3FcJXzFiSG8m6oL,https://api.spotify.com/v1/tracks/1XqgxhR3FcJXzFiSG8m6oL,https://api.spotify.com/v1/audio-analysis/1XqgxhR3FcJXzFiSG8m6oL,358373,4
3,Foolish,Ashanti,5wXgj9h0Pc36Rcgwf2qd7A,0.62,0.701,0,-5.742,1,0.0624,0.316,0.0,0.147,0.771,90.059,audio_features,spotify:track:5wXgj9h0Pc36Rcgwf2qd7A,https://api.spotify.com/v1/tracks/5wXgj9h0Pc36Rcgwf2qd7A,https://api.spotify.com/v1/audio-analysis/5wXgj9h0Pc36Rcgwf2qd7A,229013,4
4,Arigato Interlude,Ms. Lauryn Hill,3abz5HTatP9iv5p8Nm5IT0,0.0,0.978,10,-9.615,1,0.0,0.799,0.00228,0.951,0.0,0.0,audio_features,spotify:track:3abz5HTatP9iv5p8Nm5IT0,https://api.spotify.com/v1/tracks/3abz5HTatP9iv5p8Nm5IT0,https://api.spotify.com/v1/audio-analysis/3abz5HTatP9iv5p8Nm5IT0,34182,0
5,Wednesday’s Child,Alice Smith,2vW9PXPr7YFxSLmHcHQGYq,0.219,0.262,0,-6.375,1,0.0323,0.888,0.00269,0.108,0.244,162.768,audio_features,spotify:track:2vW9PXPr7YFxSLmHcHQGYq,https://api.spotify.com/v1/tracks/2vW9PXPr7YFxSLmHcHQGYq,https://api.spotify.com/v1/audio-analysis/2vW9PXPr7YFxSLmHcHQGYq,159877,4
6,Still Loving You,Scorpions,1pTyDGecdNtlm1PWuA46ZP,0.296,0.424,8,-8.667,0,0.0282,0.29,0.00846,0.395,0.106,103.567,audio_features,spotify:track:1pTyDGecdNtlm1PWuA46ZP,https://api.spotify.com/v1/tracks/1pTyDGecdNtlm1PWuA46ZP,https://api.spotify.com/v1/audio-analysis/1pTyDGecdNtlm1PWuA46ZP,291773,4
7,Gettin' Some,Shawnna,4tLHsVB3rzaJcRfwFoMq91,0.825,0.586,4,-6.044,0,0.336,0.0901,0.0,0.0635,0.611,78.03,audio_features,spotify:track:4tLHsVB3rzaJcRfwFoMq91,https://api.spotify.com/v1/tracks/4tLHsVB3rzaJcRfwFoMq91,https://api.spotify.com/v1/audio-analysis/4tLHsVB3rzaJcRfwFoMq91,202760,4
8,Thought @ Work (Apache Remix),Black Thought,3FpY4pxw80UGTsG5do1eP9,0.766,0.958,1,-6.256,1,0.148,0.0767,0.0,0.394,0.593,110.601,audio_features,spotify:track:3FpY4pxw80UGTsG5do1eP9,https://api.spotify.com/v1/tracks/3FpY4pxw80UGTsG5do1eP9,https://api.spotify.com/v1/audio-analysis/3FpY4pxw80UGTsG5do1eP9,97493,4
9,Concrete,Teyana Taylor,3SNBX4awHPJFnFzVf3nD5N,0.716,0.568,4,-7.016,0,0.198,0.467,8.21e-05,0.0934,0.265,113.954,audio_features,spotify:track:3SNBX4awHPJFnFzVf3nD5N,https://api.spotify.com/v1/tracks/3SNBX4awHPJFnFzVf3nD5N,https://api.spotify.com/v1/audio-analysis/3SNBX4awHPJFnFzVf3nD5N,237900,4
