,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.92,0.692,7,-4.376,1,0.211,0.0782,0.0,0.11,0.633,105.017,audio_features,0AnSLxClEuLksOSiIYHm4G,spotify:track:0AnSLxClEuLksOSiIYHm4G,https://api.spotify.com/v1/tracks/0AnSLxClEuLksOSiIYHm4G,https://api.spotify.com/v1/audio-analysis/0AnSLxClEuLksOSiIYHm4G,215920,4
1,0.803,0.717,2,-3.956,1,0.268,0.0644,0.0,0.248,0.582,112.963,audio_features,1HWsZxKLgySrtXOi3a5Q0j,spotify:track:1HWsZxKLgySrtXOi3a5Q0j,https://api.spotify.com/v1/tracks/1HWsZxKLgySrtXOi3a5Q0j,https://api.spotify.com/v1/audio-analysis/1HWsZxKLgySrtXOi3a5Q0j,296187,4
2,0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,audio_features,2ygMBIctKIAfbEBcT9065L,spotify:track:2ygMBIctKIAfbEBcT9065L,https://api.spotify.com/v1/tracks/2ygMBIctKIAfbEBcT9065L,https://api.spotify.com/v1/audio-analysis/2ygMBIctKIAfbEBcT9065L,213067,4
3,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,audio_features,20jYtEun4dUdYZ9foaOC48,spotify:track:20jYtEun4dUdYZ9foaOC48,https://api.spotify.com/v1/tracks/20jYtEun4dUdYZ9foaOC48,https://api.spotify.com/v1/audio-analysis/20jYtEun4dUdYZ9foaOC48,326960,4
4,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,audio_features,26nr9XnFCYWxBTIP7HyWXg,spotify:track:26nr9XnFCYWxBTIP7HyWXg,https://api.spotify.com/v1/tracks/26nr9XnFCYWxBTIP7HyWXg,https://api.spotify.com/v1/audio-analysis/26nr9XnFCYWxBTIP7HyWXg,198813,4
5,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,audio_features,6ic8OlLUNEATToEFU3xmaH,spotify:track:6ic8OlLUNEATToEFU3xmaH,https://api.spotify.com/v1/tracks/6ic8OlLUNEATToEFU3xmaH,https://api.spotify.com/v1/audio-analysis/6ic8OlLUNEATToEFU3xmaH,251240,4
6,0.832,0.797,11,-4.193,0,0.0943,0.169,1.29e-05,0.0673,0.951,131.969,audio_features,5X9tIJkTHxB19SK3FtnHT5,spotify:track:5X9tIJkTHxB19SK3FtnHT5,https://api.spotify.com/v1/tracks/5X9tIJkTHxB19SK3FtnHT5,https://api.spotify.com/v1/audio-analysis/5X9tIJkTHxB19SK3FtnHT5,175467,4
7,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007,audio_features,2EvwLVrnYbCZEG6Kx5DCRy,spotify:track:2EvwLVrnYbCZEG6Kx5DCRy,https://api.spotify.com/v1/tracks/2EvwLVrnYbCZEG6Kx5DCRy,https://api.spotify.com/v1/audio-analysis/2EvwLVrnYbCZEG6Kx5DCRy,212107,4
8,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,audio_features,4fixebDZAVToLbUCuEloa2,spotify:track:4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/audio-analysis/4fixebDZAVToLbUCuEloa2,224400,4
9,0.745,0.742,10,-5.693,1,0.0259,0.42,0.0,0.102,0.806,95.996,audio_features,1UI0l2L66HJ9AtoEOlHzv4,spotify:track:1UI0l2L66HJ9AtoEOlHzv4,https://api.spotify.com/v1/tracks/1UI0l2L66HJ9AtoEOlHzv4,https://api.spotify.com/v1/audio-analysis/1UI0l2L66HJ9AtoEOlHzv4,245067,4
