,name,artist
0,we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast"
1,do we have a problem?,nicki minaj x lil baby
2,easy on me,adele
3,heat waves,glass animals
4,stay,the kid laroi & justin bieber
5,super gremlin,kodak black
6,abcdefu,gayle
7,shivers,ed sheeran
8,ghost,justin bieber
9,surface pressure,jessica darrow
10,pushin p,gunna & future featuring young thug
11,thats what i want,lil nas x
12,need to know,doja cat
13,cold heart (pnau remix),elton john & dua lipa
14,bad habits,ed sheeran
15,industry baby,lil nas x & jack harlow
16,levitating,dua lipa
17,save your tears,the weeknd & ariana grande
18,hrs and hrs,muni long
19,the family madrigal,"stephanie beatriz, olga merediz & encanto cast"
20,one right now,post malone & the weeknd
21,smokin out the window,silk sonic (bruno mars & anderson .paak)
22,oh my god,adele
23,i hate u,sza
24,good 4 u,olivia rodrigo
25,love nwantiti (ah ah ah),ckay
26,knife talk,drake featuring 21 savage & project pat
27,big energy,latto
28,woman,doja cat
29,you should probably leave,chris stapleton
30,enemy,imagine dragons x jid
31,better days,neiked x mae muller x polo g
32,what else can i do?,diane guerrero & stephanie beatriz
33,fingers crossed,lauren spencer-smith
34,buy dirt,jordan davis featuring luke bryan
35,fancy like,walker hayes
36,you right,doja cat & the weeknd
37,sand in my boots,morgan wallen
38,meet me at our spot,the anxiety: willow & tyler cole
39,don't play that,king von & 21 savage
40,dos oruguitas,sebastian yatra
41,essence,wizkid featuring justin bieber & tems
42,cigarettes,juice wrld
43,kiss me more,doja cat featuring sza
44,freedom was a highway,jimmie allen & brad paisley
45,sacrifice,the weeknd
46,'til you can't,cody johnson
47,to be loved by you,parker mccollum
48,light switch,charlie puth
49,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
50,one mississippi,kane brown
51,she's all i wanna be,tate mcrae
52,waiting on a miracle,stephanie beatriz
53,half of my hometown,kelsea ballerini featuring kenny chesney
54,p power,gunna featuring drake
55,heart on fire,eric church
56,beers on me,"dierks bentley, breland & hardy"
57,23,sam hunt
58,aa,walker hayes
59,broadway girls,lil durk featuring morgan wallen
60,chosen,blxst & tyga featuring ty dolla $ign
61,doin' this,luke combs
62,rumors,gucci mane featuring lil durk
63,who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage"
64,for tonight,giveon
65,pressure,ari lennox
66,never say never,cole swindell / lainey wilson
67,message in a bottle (taylor's version) (from the vault),taylor swift
68,me or sum,"nardo wick, lil baby & future"
69,do it to it,acraze featuring cherish
70,all of you,"stephanie beatriz, olga merediz, john leguizamo, adassa, maluma & encanto cast"
71,scorpio,moneybagg yo
72,scared money,yg featuring j. cole & moneybagg yo
73,whiskey and rain,michael ray
74,i love you so,the walters
75,cold december,rod wave
76,emo girl,machine gun kelly & willow
77,black summer,red hot chili peppers
78,by your side,rod wave
79,peru,fireboy dml & ed sheeran
80,beautiful lies,yung bleu & kehlani
81,high,the chainsmokers
82,circles around this town,maren morris
83,all too well (taylor's version),taylor swift
84,if i was a cowboy,miranda lambert
85,get into it (yuh),doja cat
86,doja,$not & a$ap rocky
87,hate our love,queen naija & big sean
88,come back as a country boy,blake shelton
89,never wanted to be that girl,carly pearce & ashley mcbryde
90,numb little bug,em beihold
91,too easy,gunna & future
92,the motto,tiesto & ava max
93,home sweet,russell dickerson
94,flower shops,ernest featuring morgan wallen
95,iffy,chris brown
96,when i'm gone,alesso / katy perry
97,fair trade,drake featuring travis scott
98,megan's piano,megan thee stallion
99,moth to a flame,swedish house mafia & the weeknd
